date,county,state,fips,cases,newCases,deaths,newDeaths
2022-05-12,Accomack,Virginia,51001,7046,9,106,0
2022-05-12,Albemarle,Virginia,51003,18592,50,163,0
2022-05-12,Alexandria city,Virginia,51510,32528,133,188,0
2022-05-12,Alleghany,Virginia,51005,3367,3,98,0
2022-05-12,Amelia,Virginia,51007,2680,1,60,0
2022-05-12,Amherst,Virginia,51009,7309,3,89,0
2022-05-12,Appomattox,Virginia,51011,3815,3,53,0
2022-05-12,Arlington,Virginia,51013,45960,192,322,0
2022-05-12,Augusta,Virginia,51015,18893,103,206,1
2022-05-12,Bath,Virginia,51017,905,2,20,0
2022-05-12,Bedford,Virginia,51019,17256,39,240,0
2022-05-12,Bland,Virginia,51021,1798,0,24,0
2022-05-12,Botetourt,Virginia,51023,7598,9,101,1
2022-05-12,Bristol city,Virginia,51520,4453,1,80,0
2022-05-12,Brunswick,Virginia,51025,3283,6,47,0
2022-05-12,Buchanan,Virginia,51027,4902,2,122,0
2022-05-12,Buckingham,Virginia,51029,3991,2,56,0
2022-05-12,Buena Vista city,Virginia,51530,2015,1,44,0
2022-05-12,Campbell,Virginia,51031,12806,4,215,0
2022-05-12,Caroline,Virginia,51033,6970,10,85,0
2022-05-12,Carroll,Virginia,51035,6745,5,148,0
2022-05-12,Charles City,Virginia,51036,1189,0,27,0
2022-05-12,Charlotte,Virginia,51037,2533,6,45,0
2022-05-12,Charlottesville city,Virginia,51540,9428,56,74,0
2022-05-12,Chesapeake city,Virginia,51550,50960,62,497,0
2022-05-12,Chesterfield,Virginia,51041,75368,135,760,0
2022-05-12,Clarke,Virginia,51043,2676,5,42,0
2022-05-12,Colonial Heights city,Virginia,51570,4956,5,97,0
2022-05-12,Covington city,Virginia,51580,1300,0,26,0
2022-05-12,Craig,Virginia,51045,1128,0,18,0
2022-05-12,Culpeper,Virginia,51047,11486,9,149,0
2022-05-12,Cumberland,Virginia,51049,1364,6,27,0
2022-05-12,Danville city,Virginia,51590,11207,16,282,0
2022-05-12,Dickenson,Virginia,51051,3321,3,49,0
2022-05-12,Dinwiddie,Virginia,51053,5431,17,93,0
2022-05-12,Emporia city,Virginia,51595,1187,0,55,0
2022-05-12,Essex,Virginia,51057,2279,1,33,0
2022-05-12,Fairfax,Virginia,51059,187548,571,1452,0
2022-05-12,Fairfax city,Virginia,51600,2055,6,43,0
2022-05-12,Falls Church city,Virginia,51610,2205,8,17,0
2022-05-12,Fauquier,Virginia,51061,13247,19,144,0
2022-05-12,Floyd,Virginia,51063,2583,3,49,0
2022-05-12,Fluvanna,Virginia,51065,5243,8,46,0
2022-05-12,Franklin,Virginia,51067,10945,7,198,0
2022-05-12,Franklin city,Virginia,51620,2396,-2,52,0
2022-05-12,Frederick,Virginia,51069,20874,20,248,0
2022-05-12,Fredericksburg city,Virginia,51630,5482,16,42,0
2022-05-12,Galax city,Virginia,51640,2559,0,78,0
2022-05-12,Giles,Virginia,51071,4104,4,50,0
2022-05-12,Gloucester,Virginia,51073,7446,10,104,0
2022-05-12,Goochland,Virginia,51075,4140,8,53,0
2022-05-12,Grayson,Virginia,51077,4057,1,83,0
2022-05-12,Greene,Virginia,51079,4063,4,62,0
2022-05-12,Greensville,Virginia,51081,3341,1,40,0
2022-05-12,Halifax,Virginia,51083,7193,12,159,0
2022-05-12,Hampton city,Virginia,51650,28488,35,330,0
2022-05-12,Hanover,Virginia,51085,22343,24,286,1
2022-05-12,Harrisonburg city,Virginia,51660,13470,10,160,0
2022-05-12,Henrico,Virginia,51087,67333,151,934,0
2022-05-12,Henry,Virginia,51089,12189,10,266,0
2022-05-12,Highland,Virginia,51091,387,3,7,0
2022-05-12,Hopewell city,Virginia,51670,6140,2,118,0
2022-05-12,Isle of Wight,Virginia,51093,7388,4,119,1
2022-05-12,James City,Virginia,51095,15414,55,120,0
2022-05-12,King George,Virginia,51099,5105,10,39,0
2022-05-12,King William,Virginia,51101,3765,3,44,0
2022-05-12,King and Queen,Virginia,51097,1144,2,12,0
2022-05-12,Lancaster,Virginia,51103,1842,0,31,0
2022-05-12,Lee,Virginia,51105,6188,1,93,0
2022-05-12,Lexington city,Virginia,51678,2855,6,40,0
2022-05-12,Loudoun,Virginia,51107,71687,224,383,0
2022-05-12,Louisa,Virginia,51109,6832,7,85,0
2022-05-12,Lunenburg,Virginia,51111,2458,1,39,0
2022-05-12,Lynchburg city,Virginia,51680,19747,-11,267,0
2022-05-12,Madison,Virginia,51113,2448,8,41,0
2022-05-12,Manassas Park city,Virginia,51685,3826,7,27,0
2022-05-12,Manassas city,Virginia,51683,9267,10,71,0
2022-05-12,Martinsville city,Virginia,51690,3466,1,124,0
2022-05-12,Mathews,Virginia,51115,1523,0,27,0
2022-05-12,Mecklenburg,Virginia,51117,6215,8,123,1
2022-05-12,Middlesex,Virginia,51119,1872,4,48,0
