date,county,state,fips,cases,newCases,deaths,newDeaths
2020-03-06,Honolulu,Hawaii,15003,1,1,0,0
2020-03-07,Honolulu,Hawaii,15003,1,0,0,0
2020-03-08,Honolulu,Hawaii,15003,2,1,0,0
2020-03-09,Honolulu,Hawaii,15003,2,0,0,0
2020-03-10,Honolulu,Hawaii,15003,2,0,0,0
2020-03-11,Honolulu,Hawaii,15003,2,0,0,0
2020-03-12,Honolulu,Hawaii,15003,2,0,0,0
2020-03-13,Honolulu,Hawaii,15003,2,0,0,0
2020-03-14,Honolulu,Hawaii,15003,2,0,0,0
2020-03-14,Kauai,Hawaii,15007,2,2,0,0
2020-03-15,Honolulu,Hawaii,15003,4,2,0,0
2020-03-15,Kauai,Hawaii,15007,2,0,0,0
2020-03-15,Maui,Hawaii,15009,1,1,0,0
2020-03-16,Honolulu,Hawaii,15003,6,2,0,0
2020-03-16,Kauai,Hawaii,15007,2,0,0,0
2020-03-16,Maui,Hawaii,15009,2,1,0,0
2020-03-17,Hawaii,Hawaii,15001,1,1,0,0
2020-03-17,Honolulu,Hawaii,15003,8,2,0,0
2020-03-17,Kauai,Hawaii,15007,2,0,0,0
2020-03-17,Maui,Hawaii,15009,3,1,0,0
2020-03-18,Hawaii,Hawaii,15001,1,0,0,0
2020-03-18,Honolulu,Hawaii,15003,10,2,0,0
2020-03-18,Kauai,Hawaii,15007,2,0,0,0
2020-03-18,Maui,Hawaii,15009,3,0,0,0
2020-03-19,Hawaii,Hawaii,15001,1,0,0,0
2020-03-19,Honolulu,Hawaii,15003,18,8,0,0
2020-03-19,Kauai,Hawaii,15007,2,0,0,0
2020-03-19,Maui,Hawaii,15009,5,2,0,0
2020-03-20,Hawaii,Hawaii,15001,1,0,0,0
2020-03-20,Honolulu,Hawaii,15003,28,10,0,0
2020-03-20,Kauai,Hawaii,15007,3,1,0,0
2020-03-20,Maui,Hawaii,15009,5,0,0,0
2020-03-21,Hawaii,Hawaii,15001,3,2,0,0
2020-03-21,Honolulu,Hawaii,15003,35,7,0,0
2020-03-21,Kauai,Hawaii,15007,3,0,0,0
2020-03-21,Maui,Hawaii,15009,7,2,0,0
2020-03-22,Hawaii,Hawaii,15001,3,0,0,0
2020-03-22,Honolulu,Hawaii,15003,41,6,0,0
2020-03-22,Kauai,Hawaii,15007,3,0,0,0
2020-03-22,Maui,Hawaii,15009,9,2,0,0
2020-03-23,Hawaii,Hawaii,15001,5,2,0,0
