date,state,fips,cases,newCases,deaths,newDeaths
2022-02-07,US,00,76766514,348119,904139,2739
2022-02-08,US,00,76961010,194496,907497,3358
2022-02-09,US,00,77187359,226349,911067,3570
2022-02-10,US,00,77360952,173593,914328,3261
2022-02-11,US,00,77530775,169823,917135,2807
2022-02-12,US,00,77594737,63962,917896,761
2022-02-13,US,00,77629125,34388,918368,472
2022-02-14,US,00,77835449,206324,920954,2586
2022-02-15,US,00,77950961,115512,923804,2850
2022-02-16,US,00,78092141,141180,927110,3306
2022-02-17,US,00,78196006,103865,930297,3187
2022-02-18,US,00,78305615,109609,932788,2491
2022-02-19,US,00,78351826,46211,933480,692
2022-02-20,US,00,78377993,26167,933894,414
2022-02-21,US,00,78433652,55659,934654,760
2022-02-22,US,00,78556769,123117,937380,2726
2022-02-23,US,00,78641313,84544,940404,3024
2022-02-24,US,00,78714719,73406,943312,2908
2022-02-25,US,00,78800705,85986,946121,2809
2022-02-26,US,00,78825927,25222,946686,565
2022-02-27,US,00,78835013,9086,946883,197
2022-02-28,US,00,78942813,107800,948855,1972
2022-03-01,US,00,78986396,43583,950788,1933
2022-03-02,US,00,79044542,58146,953136,2348
2022-03-03,US,00,79096279,51737,955018,1882
2022-03-04,US,00,79145866,49587,956910,1892
2022-03-05,US,00,79162481,16615,957217,307
2022-03-06,US,00,79169256,6775,957429,212
2022-03-07,US,00,79232308,63052,959115,1686
2022-03-08,US,00,79266324,34016,960690,1575
2022-03-09,US,00,79314028,47704,962503,1813
2022-03-10,US,00,79352221,38193,964062,1559
2022-03-11,US,00,79396596,44375,965746,1684
2022-03-12,US,00,79407518,10922,966218,472
2022-03-13,US,00,79413908,6390,966361,143
2022-03-14,US,00,79462956,49048,963926,-2435
2022-03-15,US,00,79511352,48396,965449,1523
2022-03-16,US,00,79550748,39396,967482,2033
2022-03-17,US,00,79586734,35986,968690,1208
2022-03-18,US,00,79623203,36469,969733,1043
2022-03-19,US,00,79635322,12119,970065,332
2022-03-20,US,00,79643175,7853,970148,83
2022-03-21,US,00,79689310,46135,971074,926
2022-03-22,US,00,79714979,25669,972104,1030
2022-03-23,US,00,79762066,47087,973459,1355
2022-03-24,US,00,79799812,37746,974441,982
2022-03-25,US,00,79833549,33737,975273,832
2022-03-26,US,00,79845604,12055,975436,163
2022-03-27,US,00,79853102,7498,975486,50
2022-03-28,US,00,79895338,42236,976396,910
2022-03-29,US,00,79920966,25628,977153,757
2022-03-30,US,00,79966408,45442,978361,1208
2022-03-31,US,00,80004185,37777,979236,875
2022-04-01,US,00,80036620,32435,979881,645
2022-04-02,US,00,80048015,11395,980018,137
2022-04-03,US,00,80052942,4927,980057,39
2022-04-04,US,00,80093982,41040,980682,625
2022-04-05,US,00,80124875,30893,981146,464
2022-04-06,US,00,80174198,49323,982263,1117
2022-04-07,US,00,80209904,35706,982971,708
2022-04-08,US,00,80254009,44105,983514,543
